Height,Weight
63.64,134.33
63.12,131.34
63.4,126.61
66.21,134.6
67.8,138.32
67.55,129.14
69.64,142.35
66.55,114.26
72.02,153.1
65.49,118.92
76.84,158.37
68.88,145.12
63.24,139.38
62.43,130.77
68.33,122.15
65.65,119.47
69.21,155.46
68.3,129.08
66.22,130.71
63.28,129.42
60.74,102.06
64.8,129.56
69.75,130.11
67.31,130.11
61.77,121.2
67.16,117.65
67.96,144.96
63.14,122.07
67.08,143.13
66.72,137.88
62.16,135.13
67.86,140.8
68.63,136.92
70.62,150.68
70.5,155.34
61.26,116.14
62.94,122.06
68.46,133.02
68.45,133.47
68.46,124.61
81.14,208.1
82.0,127.28
70.82,141.62
70.13,138.83
68.98,154.05
65.3,126.55
69.38,159.76
63.56,115.75
65.6,134.51
64.66,117.74
66.81,161.26
75.3,151.81
59.4,112.57
69.11,151.39
60.37,117.3
64.71,125.72
70.64,147.74
66.74,135.81
62.4,117.89
63.78,136.18
69.08,170.22
63.72,117.72
67.32,120.92
66.67,133.96
64.02,156.44
74.65,154.09
68.91,162.74
58.8,126.83
67.21,130.31
63.99,132.17
69.74,165.6
63.49,119.01
66.06,130.39
68.42,134.33
69.79,134.07
61.94,110.19
65.23,115.14
64.7,128.31
64.02,116.22
73.21,161.36
68.04,121.27
61.71,121.12
69.99,156.96
74.56,139.51
70.42,153.01
60.73,128.35
64.66,113.26
71.31,171.8
63.81,129.75
68.19,132.01
69.44,144.33
62.98,128.42
66.27,134.5
54.18,96.52
62.61,109.34
65.54,132.98
61.76,100.37
72.7,155.4
61.07,103.99
64.83,119.55
67.0,151.02
71.98,167.21
61.04,122.07
70.92,137.2
66.54,130.74
62.77,135.53
68.26,142.42
67.26,164.96
64.22,130.91
66.77,137.66
65.04,125.42
66.93,137.56
69.02,141.63
72.53,164.59
61.8,128.95
74.61,154.15
59.08,91.72
65.92,110.29
68.74,148.54
67.57,125.0
64.13,100.05
65.71,136.22
64.63,157.57
64.26,126.26
69.73,156.08
67.86,140.27
63.87,123.73
69.92,157.74
67.67,135.12
69.59,148.73
68.89,146.87
63.35,115.04
64.37,138.64
69.34,142.52
68.82,133.68
66.42,140.55
66.95,125.22
71.36,152.22
64.25,126.2
68.58,154.92
65.73,137.33
65.67,131.12
70.68,159.24
69.64,162.37
69.59,152.22
71.46,152.38
66.58,118.95
69.09,130.95
65.32,126.49
67.73,131.52
66.01,130.38
66.87,136.41
68.76,148.9
63.39,122.36
74.45,168.86
62.68,121.41
61.89,94.08
70.9,138.97
69.51,143.5
68.87,128.42
68.89,150.19
66.45,152.6
63.09,136.75
66.79,132.88
63.93,143.03
70.21,149.52
65.94,128.34
63.36,115.75
65.28,126.37
68.07,135.39
64.36,128.73
63.38,310.0
67.43,137.77
67.43,142.99
64.57,141.75
64.71,139.35
67.38,119.76
61.0,83.94
61.15,126.36
63.77,108.17
65.69,128.78
67.68,124.61
72.11,132.96
69.76,152.63
65.89,141.32
66.43,127.22
62.69,89.59
66.43,127.59
65.4,135.15
67.73,121.07
63.36,125.28
68.47,141.32
72.32,162.32
66.09,134.35
68.03,128.22
69.12,158.2
64.98,127.01
67.35,137.14
66.55,123.37
66.87,130.42
63.56,113.21
66.59,132.66
68.39,161.75
72.01,137.79
70.15,128.16
74.68,181.51
63.58,121.39
69.81,138.3
67.2,149.39
74.82,157.09
63.43,145.25
63.31,131.05
64.22,120.35
58.43,131.23
64.5,119.94
63.62,132.92
67.07,140.05
67.8,154.7
73.63,178.8
70.11,147.79
64.31,117.47
63.09,127.63
68.37,133.0
61.48,140.5
73.46,161.09
70.98,146.15
64.72,130.2
59.99,94.8
71.64,141.26
66.06,147.24
71.2,143.45
60.44,100.03
64.22,132.64
66.52,148.7
66.68,143.67
64.79,140.2
68.87,133.84
62.44,102.73
65.96,150.47
66.96,132.17
68.45,138.43
69.2,160.07
62.23,125.69
60.67,118.88
71.36,177.86
67.76,131.22
63.66,135.29
72.39,156.3
66.94,139.21
70.98,168.87
66.76,141.42
74.33,169.05
73.17,171.28
65.55,126.61
70.19,137.62
68.95,130.69
71.7,129.53
62.83,145.87
69.11,130.55
70.52,146.22
59.82,107.02
62.0,121.9
58.75,116.29
65.48,141.04
69.23,137.22
72.21,152.95
66.78,138.8
72.69,153.7
61.26,134.81
60.03,116.99
66.29,142.46
67.96,147.61
66.38,148.03
58.64,108.29
66.16,117.62
61.54,121.35
69.04,135.74
67.89,133.07
62.93,128.58
64.55,142.23
62.47,120.17
66.26,137.25
70.13,167.89
62.75,123.8
68.42,172.52
64.49,133.93
63.49,102.42
66.09,141.98
62.57,124.81
64.4,142.3
61.95,126.09
73.97,159.62
66.63,120.19
63.84,122.32
67.31,127.12
66.07,125.9
65.66,138.44
68.83,162.84
69.38,149.5
64.48,112.79
64.31,131.86
65.45,145.0
57.75,95.59
60.74,112.06
71.69,153.28
72.75,147.48
65.55,138.77
68.69,140.84
67.68,143.69
78.2,165.87
70.75,144.47
66.01,141.32
62.87,116.85
60.4,133.15
67.27,132.39
63.63,126.75
61.1,126.13
64.04,108.53
62.39,98.47
72.91,139.17
69.85,161.61
66.47,127.67
72.12,185.34
66.79,128.69
63.23,124.83
72.29,173.74
68.55,165.85
62.56,144.95
65.78,146.3
63.17,134.71
61.25,122.59
70.02,156.41
73.76,153.91
61.19,105.45
68.64,142.06
64.03,123.46
64.65,122.3
64.25,134.65
63.22,134.04
66.68,136.12
63.34,140.76
67.53,124.4
66.31,131.39
65.59,122.53
63.05,99.59
64.31,125.52
69.37,143.27
68.4,159.41
62.79,128.6
66.88,123.47
69.36,166.93
60.16,126.21
68.56,148.82
63.98,122.62
68.67,130.69
63.6,119.49
59.64,122.77
60.32,134.75
66.68,153.58
67.49,132.09
63.06,108.59
68.93,144.83
60.19,90.45
66.25,137.37
61.9,116.06
64.02,119.89
66.68,115.91
63.23,128.79
65.04,122.75
70.32,134.13
64.31,92.04
69.68,145.5
62.21,140.21
68.51,161.58
71.98,148.64
57.11,93.36
63.47,129.12
68.69,130.31
65.73,135.24
67.91,148.67
64.2,140.86
66.83,134.38
65.91,129.83
70.94,139.84
67.47,127.96
67.78,136.3
64.93,133.17
64.65,138.69
64.86,118.84
68.0,157.71
64.9,125.39
67.6,138.11
74.39,153.82
69.81,117.23
65.26,140.55
71.06,159.67
64.95,125.44
58.76,107.32
62.67,126.8
59.39,90.06
65.16,123.24
66.57,144.18
72.87,142.28
67.74,142.4
65.67,115.12
69.65,151.34
58.1,103.72
67.4,118.24
69.43,158.92
60.88,105.36
70.85,140.32
67.79,141.44
64.92,142.5
68.9,130.87
75.13,166.2
67.19,142.03
67.44,146.11
64.75,130.23
63.27,118.37
69.66,135.83
63.25,123.72
66.77,122.51
64.68,92.81
68.32,146.19
67.77,149.81
70.44,120.24
64.56,115.31
65.47,138.14
62.78,145.7
64.81,128.57
67.93,130.83
69.38,142.56
63.0,138.28
69.8,138.54
71.65,143.35
68.07,134.26
73.63,148.63
63.56,125.29
61.77,136.87
59.74,113.94
72.18,151.84
68.99,139.85
66.29,114.88
67.56,148.83
62.22,118.07
75.79,165.69
66.99,174.49
66.92,139.48
69.26,135.31
68.33,135.86
67.35,151.24
63.5,124.95
68.29,123.59
73.65,171.18
71.61,144.79
72.55,178.67
64.56,140.37
62.74,115.49
66.02,148.05
66.71,135.98
70.66,159.6
60.07,117.06
72.31,145.17
65.9,124.52
64.88,140.92
62.65,116.54
60.21,106.92
69.63,134.2
66.78,140.49
61.6,141.5
61.58,103.87
65.22,130.1
72.84,174.18
65.51,129.89
60.79,119.27
65.57,118.29
65.46,135.81
56.25,95.26
66.29,145.49
65.62,145.49
69.15,175.0
73.53,166.65
70.78,153.72
65.48,133.05
62.3,115.02
76.28,173.67
66.73,131.67
66.55,136.61
66.41,149.88
67.25,125.03
65.95,146.1
64.32,142.36
64.42,125.5
66.38,108.49
64.43,119.67
63.79,140.21
66.9,135.58
65.53,118.92
72.22,148.92
56.43,108.22
70.65,155.89
71.24,148.58
58.62,101.63
65.2,125.01
65.09,118.25
61.15,134.53
63.54,119.89
62.28,133.81
73.16,176.63
70.06,159.18
71.33,146.62
69.24,65.0
62.21,118.66
64.51,116.38
68.36,144.99
61.86,103.53
69.21,158.41
65.59,125.54
65.08,131.69
69.2,147.53
68.19,137.37
65.13,136.5
70.91,144.56
62.39,130.07
68.84,126.67
68.75,144.03
65.32,153.43
67.74,126.86
61.75,109.15
70.01,153.21
65.8,134.03
64.51,131.46
70.49,154.62
63.82,132.38
61.15,128.45
60.58,118.02
68.8,139.8
61.63,124.95
73.17,181.2
58.59,104.33
72.95,145.91
67.3,150.57
66.13,131.63
64.43,100.87
68.02,150.03
66.36,127.46
70.69,148.41
66.93,139.95
67.07,138.74
65.12,137.94
66.28,128.4
67.67,144.77
60.0,107.89
61.38,124.82
69.32,151.95
67.15,125.51
65.8,144.91
66.57,128.22
67.82,148.85
64.45,131.42
63.54,145.81
67.24,134.4
62.78,116.82
68.05,139.75
60.03,107.47
70.41,158.08
68.3,121.47
67.47,125.26
70.23,135.03
72.83,168.59
70.35,168.8
59.5,107.96
61.64,114.87
64.13,126.69
66.6,148.7
68.47,130.35
63.74,127.33
67.21,148.66
63.63,130.08
64.18,128.31
61.15,127.17
62.99,89.33
61.36,124.04
62.79,113.2
70.5,126.85
62.89,127.55
76.5,186.89
68.37,139.5
67.2,148.36
63.24,142.01
69.16,159.76
64.31,146.2
66.96,144.97
76.23,170.33
66.13,113.86
70.87,147.17
63.83,114.66
66.37,159.97
73.23,156.51
64.12,127.3
73.39,165.81
69.19,144.61
64.36,147.05
68.9,135.58
70.2,150.04
68.86,134.0
48.5,97.08
63.74,117.11
65.56,130.57
66.22,128.23
68.86,134.58
67.18,119.96
61.43,115.14
67.94,121.54
68.82,151.87
68.63,143.05
70.61,131.69
69.67,142.1
68.24,131.66
66.23,137.27
60.19,127.76
68.13,117.78
67.29,138.62
67.53,136.19
61.65,124.99
62.39,122.17
70.5,139.78
66.35,130.03
69.09,134.17
66.61,147.7
66.61,135.06
70.07,170.05
64.54,126.61
66.87,127.21
64.74,109.91
64.85,106.82
65.33,111.16
67.34,140.64
64.68,133.96
71.27,132.6
63.1,132.9
65.79,126.05
64.83,130.15
72.0,173.54
67.25,147.85
70.42,145.29
60.85,103.38
67.51,112.23
69.88,137.94
66.81,132.99
70.55,137.13
64.53,125.75
71.86,154.6
75.24,163.15
65.12,121.64
64.81,130.33
72.02,159.59
72.5,142.92
64.51,144.18
64.9,127.47
65.43,130.77
61.39,124.51
63.01,124.63
62.68,132.1
63.58,127.34
66.37,126.58
67.39,141.94
72.39,141.89
62.71,122.05
70.24,147.47
65.69,128.98
66.31,132.18
69.06,121.05
62.23,112.46
67.95,140.75
67.13,138.6
68.37,128.8
67.6,153.54
75.83,157.59
64.08,137.31
64.48,132.26
64.13,118.12
64.39,148.1
64.08,111.36
71.02,161.7
71.9,165.84
64.33,118.54
63.34,139.72
68.29,137.85
64.4,130.31
68.91,146.18
67.27,135.56
60.74,123.39
72.38,165.09
73.32,137.99
64.17,141.67
65.03,109.15
67.59,150.7
67.77,152.5
69.0,130.32
74.14,156.97
65.83,118.71
63.47,120.9
61.26,111.83
63.72,133.76
66.37,149.67
73.32,175.7
64.53,120.57
67.35,134.95
66.44,113.97
71.02,140.99
76.1,180.55
64.48,146.52
64.64,112.89
70.47,141.57
69.09,143.41
73.52,163.02
68.72,132.67
65.13,134.57
68.74,136.79
70.71,149.39
69.62,152.18
68.43,141.42
70.55,143.76
70.94,149.08
71.75,152.25
68.97,138.83
65.86,129.01
67.06,155.59
71.08,157.64
63.4,119.68
67.9,147.81
65.01,125.01
66.61,148.87
71.36,156.32
67.23,135.73
66.68,140.41
61.33,96.95
69.34,131.09
68.95,128.9
74.72,165.71
65.33,325.0
67.33,164.17
67.45,145.47
72.49,161.99
66.14,111.48
67.56,131.7
68.81,133.26
67.21,129.5
64.8,126.28
67.24,131.39
70.58,125.34
62.6,129.33
67.01,123.35
63.84,127.69
71.04,175.64
60.71,102.53
64.38,96.39
67.93,136.13
72.45,169.03
66.25,157.0
84.0,112.05
73.65,166.09
61.0,109.01
58.14,103.05
68.17,172.15
64.59,109.5
62.62,123.47
69.19,149.7
67.43,150.76
64.36,127.86
61.63,120.58
69.82,141.64
68.97,146.52
66.12,128.92
73.52,167.12
62.43,115.33
60.7,118.06
63.87,124.58
66.33,147.29
67.42,137.11
65.58,109.82
67.84,154.36
61.74,106.41
71.99,146.31
66.19,126.13
70.75,166.18
67.8,113.46
68.24,178.3
68.67,154.87
68.2,143.2
68.94,142.53
71.55,156.01
67.25,143.34
69.19,151.84
66.16,139.84
71.97,155.18
63.93,122.78
73.34,157.22
66.35,131.51
61.06,128.43
66.99,143.28
63.91,89.8
69.69,153.77
64.02,127.81
64.8,128.07
59.32,103.89
64.78,141.7
57.29,112.61
60.48,103.46
69.39,149.69
69.49,133.49
68.12,123.66
62.83,113.65
66.32,144.1
66.49,145.79
62.1,124.71
72.21,163.67
69.83,152.6
65.66,123.68
66.6,139.95
67.29,146.86
58.74,115.52
65.56,145.29
63.91,133.57
62.69,124.92
65.43,143.4
73.33,158.67
68.94,132.58
64.33,124.63
68.68,133.29
